Name,Assign,Blocked by,Blocking,Date,Parent item,Release,Status,Sub-item,URL
Member Portal,,,,,,,Not started,Setup Memberstack (SaaS%20Kanban%20ccdfe445b86a47fbaee6db9f3dc8ff6b/Setup%20Memberstack%209e48c3750ad04c7fae503f87f4784662.csv),
Course,,,,,,,Not started,Develop Course Content (SaaS%20Kanban%20ccdfe445b86a47fbaee6db9f3dc8ff6b/Develop%20Course%20Content%20125afe6a1c5c49deb64baab6f04890ea.csv),
Webflow Setup,,,,,,,Not started,Website Copy (SaaS%20Kanban%20ccdfe445b86a47fbaee6db9f3dc8ff6b/Website%20Copy%20118fee0afb85493f8efad94fc9748170.csv),
Website Copy,,,,,Webflow Setup (SaaS%20Kanban%20ccdfe445b86a47fbaee6db9f3dc8ff6b/Webflow%20Setup%20600a8e108d394583915dd75497f60fd0.csv),,Not started,,
Setup Email,,,Develop Course Content (SaaS%20Kanban%20ccdfe445b86a47fbaee6db9f3dc8ff6b/Develop%20Course%20Content%20125afe6a1c5c49deb64baab6f04890ea.csv),"December 28, 2022",,,In progress,,
Setup Webflow Site,,,,,,,Not started,,
Develop Course Content,,Setup Email (SaaS%20Kanban%20ccdfe445b86a47fbaee6db9f3dc8ff6b/Setup%20Email%20eabcfe9c43ac4a23be5b7406ce7b2721.csv),,"December 30, 2022 → January 3, 2023",Course (SaaS%20Kanban%20ccdfe445b86a47fbaee6db9f3dc8ff6b/Course%2025bbbd69a42c41e1bf152076e6577fc1.csv),,In progress,,
Setup Memberstack,,,,,Member Portal (SaaS%20Kanban%20ccdfe445b86a47fbaee6db9f3dc8ff6b/Member%20Portal%20942c695e3cee4877b8b8eeb65cc41d56.csv),,Not started,,
Source leads on Clearbit,,,,,,,Not started,,
Frequency Determination,,,,,,,Not started,,
Randomisation,,,,,,,Not started,,
Admin Notifications,,,,,,,Not started,,
Template selection,,,,,,,Not started,,
Remediation training,,,,,,,Not started,,
New hire security training,,,,,,,Not started,,
Palm Report Image Archive — Are.na,,,,,,,Not started,,https://www.are.na/palm-report-by-poolsuite/palm-report-image-archive
